CUSTOMER_ID,CUSTOMER_NAME,CITY,JOIN_DATE,EMAIL,PHONE
C00001,Aryan Maharaj,Kolkata,2025-03-09,udantdewan@example.net,+918196001338
C00002,Rushil Saini,Mumbai,2025-02-08,saumyamall@example.org,+916542351161
C00003,Aishani Bassi,Delhi,2024-08-03,hyadav@example.com,+918495931034
C00004,Harrison Rai,Chennai,2023-12-30,sudiksha52@example.com,03419283276
C00005,Ekta Bhalla,Ahmedabad,2024-05-26,azadmutti@example.com,01395376724
C00006,Adya Sangha,Mumbai,2024-02-15,opathak@example.org,7101226916
C00007,Zayan Apte,Ahmedabad,2024-08-21,yadavamara@example.net,01462704828
C00008,Chanchal Tripathi,Ahmedabad,2025-10-07,michaelprakash@example.org,8095701543
C00009,Farhan Chada,Mumbai,2023-12-13,wbiswas@example.net,+912782489638
C00010,Devika Rastogi,Mumbai,2025-06-07,raksha87@example.org,+913150983930
C00011,Veer Bir,Bengaluru,2023-12-24,narayananekavir@example.net,+914738299737
C00012,Ranveer Chandra,Hyderabad,2025-07-18,sankarirya@example.com,07010651333
C00013,Logan Sami,Delhi,2024-12-19,aryashere@example.org,+917810801326
C00014,Tanay Rattan,Chennai,2024-11-10,galaladli@example.org,04746872343
C00015,Dipta Bhandari,Mumbai,2023-12-14,soodyadavi@example.net,+910812191361
C00016,Balveer Bumb,Mumbai,2025-09-20,uvirk@example.com,+915346247510
C00017,Ethan Yogi,Delhi,2024-10-19,yashawinilanka@example.org,01354278498
C00018,Hemang Desai,Bengaluru,2023-11-05,jack18@example.org,04935348740
C00019,Aradhana Basu,Ahmedabad,2024-01-09,nathkalpit@example.net,02786801128
C00020,Manbir Sani,Ahmedabad,2023-11-26,benjaminmorar@example.com,+915331586923
C00021,Peter Sachar,Mumbai,2025-08-31,golagaurangi@example.com,3421607337
C00022,Vedant Kapoor,Bengaluru,2024-07-27,hansmohini@example.com,01458685014
C00023,Balvan Chopra,Kolkata,2024-03-16,upai@example.com,09816934060
C00024,Januja Sankar,Mumbai,2024-12-06,narayanandipta@example.net,+914846564823
C00025,Owen Mitra,Hyderabad,2024-09-20,tacharya@example.com,+916995777387
C00026,Frado Mander,Chennai,2025-07-07,girik34@example.org,+912003791769
C00027,Warda Ratta,Mumbai,2024-03-29,manbirahluwalia@example.org,03287083172
C00028,Edhitha Savant,Delhi,2025-07-13,ksehgal@example.net,07434873471
C00029,Wahab Magar,Kolkata,2025-05-06,ekaja81@example.org,+913623166587
C00030,Samuel Salvi,Pune,2024-09-16,wbahri@example.net,07054668893
C00031,Anjali Sarin,Kolkata,2024-11-12,ybalakrishnan@example.com,6272980699
C00032,Fiyaz Sangha,Ahmedabad,2025-03-27,triyagopal@example.org,06537556464
C00033,Upma Bahl,Delhi,2025-08-08,pallaudarsh@example.net,+910033092327
C00034,Tejas Shroff,Hyderabad,2025-04-01,jyoti29@example.net,1241904966
C00035,Faqid Kibe,Ahmedabad,2025-05-07,mitrajai@example.net,+915865185067
C00036,Janaki Sharaf,Bengaluru,2024-01-19,radhikagoda@example.net,4987769453
C00037,Arya Seshadri,Chennai,2025-08-05,ucchalraghavan@example.com,+917527354549
C00038,Advaith Varughese,Mumbai,2025-04-26,frederickkhurana@example.net,07837770143
C00039,Damini Pillay,Pune,2024-09-08,wwali@example.com,8557444313
